file,path,line_number
.claude/commands/feedback.md,learning/feedback.md,3
.claude/commands/feedback.md,learning/sessions/,11
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,23
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,24
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/sim-template.md,27
.claude/skills/create-sim/SKILL.md,sims/registry.json,28
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/assets/manifest-schema.json,29
.claude/skills/create-sim/SKILL.md,sims/{id}/manifest.json,30
.claude/skills/create-sim/SKILL.md,sims/{id}/story.md,31
.claude/skills/create-sim/SKILL.md,sims/{id}/resolution.md,32
.claude/skills/create-sim/SKILL.md,sims/registry.json,34
.claude/skills/create-sim/SKILL.md,sims/index.md,35
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,36
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,43
.claude/skills/create-sim/SKILL.md,sims/registry.json,44
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,45
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/sim-template.md,46
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/assets/manifest-schema.json,47
.claude/skills/create-sim/SKILL.md,.claude/skills/git/references/task-to-issue.md,59
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,67
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,72
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,82
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,160
.claude/skills/create-sim/SKILL.md,learning/catalog.csv,165
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,174
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/sim-template.md,198
.claude/skills/create-sim/SKILL.md,sims/registry.json,199
.claude/skills/create-sim/SKILL.md,sims/{id}-{slug}/,200
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/assets/manifest-schema.json,205
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/exam-topics.md,215
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/story-structure.md,217
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/game-design.md,219
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/references/story-structure.md,228
.claude/skills/create-sim/SKILL.md,.claude/skills/create-sim/assets/manifest-schema.json,327
.claude/skills/create-sim/SKILL.md,sims/registry.json,338
.claude/skills/create-sim/SKILL.md,sims/index.md,351
.claude/skills/create-sim/SKILL.md,.claude/skills/git/references/commit-procedure.md,368
.claude/skills/create-sim/ownership.json,learning/catalog.csv,2
.claude/skills/create-sim/ownership.json,sims/index.md,2
.claude/skills/create-sim/ownership.json,sims/registry.json,2
.claude/skills/create-sim/ownership.json,sims/,3
.claude/skills/create-sim/references/sim-template.md,learning/catalog.csv,261
.claude/skills/fight-team/SKILL.md,.claude/skills/git/references/task-to-issue.md,141
.claude/skills/fight-team/references/default-checklist.md,references/workspace-map.md,11
.claude/skills/fight-team/references/default-checklist.md,references/testing-system.md,17
.claude/skills/fight-team/references/default-checklist.md,scripts/code-health.js,17
.claude/skills/fight-team/references/default-checklist.md,web/test-specs/,17
.claude/skills/fight-team/references/default-checklist.md,web/test/,17
.claude/skills/fight-team/references/default-checklist.md,web/lib/,29
.claude/skills/fight-team/references/default-checklist.md,references/workspace-map.md,33
.claude/skills/fight-team/references/default-checklist.md,references/,35
.claude/skills/fight-team/references/default-checklist.md,.claude/skills/play/references/coaching-patterns.md,41
.claude/skills/fight-team/references/default-checklist.md,web/lib/,59
.claude/skills/fight-team/references/default-checklist.md,web/public/,59
.claude/skills/fight-team/references/default-checklist.md,web/server.js,59
.claude/skills/fight-team/references/default-checklist.md,web/test/,59
.claude/skills/fight-team/references/default-checklist.md,sims/,65
.claude/skills/fight-team/references/default-checklist.md,sims/registry.json,65
.claude/skills/fight-team/references/default-checklist.md,.claude/hooks/,71
.claude/skills/fight-team/references/default-checklist.md,web/test/guard-coverage.test.js,71
.claude/skills/fight-team/references/default-checklist.md,web/test/guard-write.test.js,71
.claude/skills/fight-team/references/default-checklist.md,learning/profile.json,75
.claude/skills/fight-team/references/default-checklist.md,references/workspace-map.md,77
.claude/skills/fight-team/references/default-checklist.md,references/workspace-map.md,81
.claude/skills/fix/SKILL.md,references/workspace-map.md,15
.claude/skills/fix/SKILL.md,learning/feedback.md,16
.claude/skills/fix/SKILL.md,learning/logs/activity.jsonl,17
.claude/skills/fix/SKILL.md,scripts/metrics.config.json,18
.claude/skills/fix/SKILL.md,web/test-results/summary.json,19
.claude/skills/fix/SKILL.md,learning/logs/health-scores.jsonl,26
.claude/skills/fix/SKILL.md,learning/feedback.md,28
.claude/skills/fix/SKILL.md,scripts/metrics.config.json,29
.claude/skills/fix/SKILL.md,references/workspace-map.md,37
.claude/skills/fix/SKILL.md,learning/feedback.md,41
.claude/skills/fix/SKILL.md,learning/logs/activity.jsonl,45
.claude/skills/fix/SKILL.md,scripts/metrics.config.json,45
.claude/skills/fix/SKILL.md,references/permission-bypass-registry.md,52
.claude/skills/fix/SKILL.md,learning/vault/index.md,56
.claude/skills/fix/SKILL.md,learning/vault/patterns/behavioral-profile.md,56
